Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Trabajo dependiente remunerado;40;Contrata plazo fijo;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy Satisfecho;Insatisfecho;Satisfecho;;Perdí mi trabajo;;;;;;;;Encontré trabajo;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;No hay muchas proyecciones, en lo personal me gustaría seguir en investigación de mercados, pero hoy se necesitan con urgencia estudios de impacto social los que son postergados o simplemente invisibles;Muy interesado;Muy interesado;Poco interés;Interesado;Indiferente;Nada de Interés.;Indiferente;Muy interesado;Interesado;UX Research;1;3;13;10;1;0;0;1;Licenciado;1;Universidad Diego Portales;Ñuñoa;Providencia;32;Femenino;0;1
Trabajo independiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;Trajo conflictos familiares;;;;;;;Tuvo consecuencias emocionales;;;Continuar estudios, campo académico e investigación;Muy interesado;Muy interesado;Interesado;Poco interés;Interesado;Muy interesado;Muy interesado;Interesado;Poco interés;sociología política, historia;1;5;10;3;0;1;1;1;Licenciado;1;Universidad Alberto Hurtado;Santiago Centro;Recoleta;27;Masculino;0;1
Trabajo dependiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron;0;Muy Satisfecho;Satisfecho;Muy Satisfecho;Todo siguió igual;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Continuar laborando hasta diciembre 2020 (por contrato), posibilidad de realizar docencia online. Ahorrar lo más que se pueda.;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;documentales de sociología;1;19;27;7;1;1;1;1;Licenciado;1;Universidad de La Frontera;Santiago;Santiago;30;Masculino;1;
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Aumentaron levemente;0;Insatisfecho;Satisfecho;Satisfecho;;;;;Trajo conflictos familiares;;;;;;;Tuvo consecuencias emocionales;;;Proyección Discreta Vulnerabilidad;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Gestionar Nuestra Fundación POSITIVA e Incidir en Política Pública, ÉTICA, DDHH y Memoria y Formación Ciudadana y Docencia;1;8;9;2;1;1;1;1;Magíster;1;Arcis;Peñalolén;Peñalolén;55;Masculino;1;
Desempleado;;;;;;;;;Disminuyeron levemente;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Género, memoria y políticas públicas;Muy interesado;Muy interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Investigación;1;10;10;2;1;1;0;1;Licenciado;1;Universidad Andrés Bello;Ñuñoa;No tengo empleo;25;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Muy bajas expectativas;Interesado;Poco interés;Interesado;Interesado;Poco interés;Indiferente;Interesado;Indiferente;Indiferente;;0;;;;;;;;Licenciado;0;Universidad de Chile;Villa Alegre;No trabajo;24;Masculino;0;1
Trabajo dependiente remunerado;18;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Aumentaron;0;Insatisfecho;Satisfecho;Satisfecho;;;;;Trajo conflictos familiares;;;;;Encontré trabajo;;Tuvo consecuencias emocionales;;Conflictos familiares;Emprendimiento en encuestas de evaluación;Interesado;Interesado;Interesado;Interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Poco interés;Sociología de la discapacidad;1;3;6;1;1;0;1;1;Licenciado;0;Universidad de Chile;Providencia;Providencia;24;Masculino;0;1
Trabajo dependiente remunerado;50;Independiente (dueño o socio de firma consultora);;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;Me sentí esperanzada respecto del fututo;;;;;Tuvo consecuencias emocionales;;;Buena proyección laboral;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Nada de Interés.;Big data;1;10;20;7;0;1;1;1;Magíster;1;Universidad de Chile;Ñuñoa;Ñuñoa;59;Femenino;0;1
Desempleado;;;;;;;;;Aumentaron levemente;0;Disminuyeron totalmente;1;Muy insatisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Metodologías cuantitativas;Interesado;Muy interesado;Nada de Interés.;Interesado;Poco interés;Interesado;Muy interesado;Muy interesado;Interesado;;1;0;2;0;0;1;0;0;Licenciado;0;Universidad de Chile;Providencia;;24;Femenino;0;1
Trabajo independiente remunerado;5;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Disminuyeron totalmente;1;Indiferente;Insatisfecho;Satisfecho;;;Encontré trabajo;;;;;;Perdí mi trabajo;;;;;;Innovar, cambiar, inventar;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Indiferente;Redes sociales, buscar formas de traducir la sociología para la población general;1;2;4;2;0;0;1;0;Licenciado;0;Universidad de chile;Ñuñoa;Macul;25;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy insatisfecho;Muy insatisfecho;Muy insatisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;trabajo servicio público, en metodologías y en intervención social;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;intervención pública social, trabajo multidisciplinario;1;2;4;0;1;0;0;0;Licenciado;0;Universidad de Chile;Santiago;no trabajo actualmente;25;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Insatisfecho;Satisfecho;Insatisfecho;;;;;;;Cambió mi cotidianeidad de transporte;;;;;Tuvo consecuencias emocionales;;;Me proyecto en ser parte de un fondo público de investigación sobre salud pública;Muy interesado;Indiferente;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Docencia académica;1;4;8;0;0;1;0;1;Licenciado;1;Universidad de Chile;Maipú;Teletrabajo;24;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;1;Muy insatisfecho;Indiferente;Insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;Formulación y evaluación de proyectos. Políticas Públicas. Investigación Cualitativa.;Muy interesado;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;.;1;12;12;2;1;1;1;1;Licenciado;1;UNAB;Peñalolen;.;27;Masculino;0;1
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;incertidumbre, precariedad;Interesado;Interesado;Interesado;Poco interés;Poco interés;Poco interés;Interesado;Interesado;Interesado;acción colectiva, políticas públicas, gestión ambiental;0;;;;;;;;Magíster;1;Universidad de La Frontera;Temuco;Temuco;45;Masculino;1;
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;Diálogo, Participación y Relacionamiento Comunitario;Muy interesado;Muy interesado;Interesado;Muy interesado;Nada de Interés.;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Metodología y Teorías Sociológicas;0;;;;;;;;Magíster;1;Universidad de Concepción;Concepción;Concepción;43;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;1;Se mantuvieron igual;1;Muy insatisfecho;Insatisfecho;Muy insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;"Desempleo
Desigualdad
Precariedad";Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Me interesa la sociología en general;1;1;0;0;1;0;0;0;Licenciado;1;Universidad Andrés Bello;La Florida;'-;29;Femenino;1;
Desempleado;;;;;;;;;Disminuyeron levemente;1;Disminuyeron totalmente;1;Muy insatisfecho;Insatisfecho;Insatisfecho;;Perdí mi trabajo;;;;;;;Perdí mi trabajo;;;;;;Desarrollo territorial;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Desarrollo científico tecnológico y Medioambiente;1;4;2;1;1;1;1;1;Licenciado;0;Universidad de Viña del Mar;V region;Villa Alemana;43;Femenino;0;1
Trabajo independiente remunerado;30;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;Provocó un bajón anímico;;;;Seguir trabajando en investigaciones en la academia;Muy interesado;Muy interesado;Indiferente;Interesado;Interesado;Muy interesado;Interesado;Interesado;Poco interés;Sociología digital;1;12;12;5;1;1;1;1;Magíster;1;Universidad Católica;Ñuñoa;Ñuñoa;29;Masculino;1;
Trabajo independiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Se mantuvieron igual;0;Muy Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;;Tuvo consecuencias emocionales;;;Estudios de posgrado en el extranjero;Interesado;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Indiferente;.;1;4;12;3;1;1;1;1;Licenciado;1;UC;La Reina;Santiago;26;Femenino;0;0
Empresa individual o familiar;44;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Un oportunidad económica para proyectos nuevos.;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Sociología de la Salud, Sociología del Desarrollo Sostenible, Economía circular;1;10;12;4;0;0;0;1;Magíster;1;Complutense de Madrid;Iquique;En mi propia empresa;38;Masculino;0;1
Trabajo independiente remunerado;2;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Insatisfecho;Satisfecho;Insatisfecho;;;;;;;Disminuyeron posibilidades laborales;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Diversificarse, ahorro, inversión;Indiferente;Indiferente;Interesado;Muy interesado;Interesado;Interesado;Interesado;Indiferente;Poco interés;No;1;15;25;3;1;1;1;1;Magíster;1;U Católica;Ñuñoa;Ñuñoa;36;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Insatisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;;;;;Estudios de doctorado;Indiferente;Muy interesado;Indiferente;Indiferente;Indiferente;Interesado;Interesado;Muy interesado;Poco interés;;1;12;12;1;0;0;1;1;Magíster;1;PUC;Providencia;No aplica;30;Masculino;0;1
Trabajo independiente remunerado;10;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Insatisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;politicas publicas proyectos;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Poco interés;Poco interés;Interesado;Interesado;Trabajo comunitario;1;2;2;0;0;0;0;1;Licenciado;1;Universidad Alberto Hurtado;Santiago Centro;Providencia;27;Masculino;0;1
Trabajo independiente remunerado;5;Informal (sin formalización de contrato);;No entregó nada;;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;;Disminuyeron levemente;0;Insatisfecho;Muy Satisfecho;Muy Satisfecho;;Perdí mi trabajo;;;;;;Todo siguió igual;;;;;;;Continuar en el área socioambiental, en alguna consultora;Muy interesado;Poco interés;Interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Indiferente;Nada de Interés.;Cambio climático, conflictos socioambientales;1;4;4;0;0;0;0;1;Magíster;1;Universidad La República;Ñuñoa;Ñuñoa;42;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy insatisfecho;Indiferente;Insatisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;;;;;baja;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Poco interés;Interesado;Poco interés;Nada de Interés.;ninguna;1;5;5;12;0;0;1;1;Licenciado;1;Concepción;Providencia;Desempleada;33;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Marketing o comunicación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;;Poco interés;Muy interesado;Indiferente;Nada de Interés.;Indiferente;Nada de Interés.;Indiferente;Muy interesado;Muy interesado;;1;3;7;0;1;1;0;0;Licenciado;1;UDP;Maipu;Providencia;25;Masculino;0;0
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Satisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;;Nada de Interés.;Muy interesado;Poco interés;Poco interés;Interesado;Indiferente;Indiferente;Muy interesado;Interesado;;1;6;10;2;0;1;0;1;Licenciado;1;Universidad de Chile;Santiago;Providencia;28;Masculino;0;0
Trabajo dependiente remunerado;50;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;;;;;;;"por qué indican solo cosas negativas? Se fotalecieron lazos; también conflictos familiares por orientación política; tuve que adaptar la orientación de mi trabajo (nuevas objetivos y preguntas de investigación)";;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;precaria, inestable, incierta;Muy interesado;Poco interés;Nada de Interés.;Interesado;Indiferente;Interesado;Poco interés;Interesado;Nada de Interés.;diálogos entre academia, policy makers y sociedad civil;1;19;13;3;1;1;1;1;Postdoctorado;1;PUC;Providencia;Ñuñoa;41;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Indiferente;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;continuar en lo mismo;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Indiferente;Interesado;Muy interesado;Nada de Interés.;Aplicación práctica de investigaciones sociales;0;;;;;;;;Licenciado;1;Uchile;San Miguel;Providencia;28;Femenino;0;0
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Nada de Interés.;;1;12;6;0;0;0;0;1;Licenciado;0;Universidad de Chile;Ñuñoa;Santiago;31;Masculino;1;
Trabajo dependiente remunerado;30;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Aumentaron levemente;0;Insatisfecho;Muy Satisfecho;Satisfecho;;;;;;;Me motivo;;;;;Tuvo consecuencias emocionales;;;Investigacion, academia;Poco interés;Interesado;Interesado;Poco interés;Indiferente;Interesado;Muy interesado;Interesado;Indiferente;Educacion;1;6;6;3;1;1;1;1;Licenciado;0;Universidad de concepcion;Valparaiso;Valparaiso;40;Masculino;0;1
Trabajo independiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;T;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;.;1;1;13;3;1;1;1;1;Licenciado;1;Universidad Viña del Mar;Villa Alemana;Viña del Mar;28;Femenino;0;0
Trabajo independiente remunerado;0;Independiente (dueño o socio de firma consultora);;Entrega boleta de honorarios;Investigación;;;No trabajé;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Indiferente;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;INVESTIGACIÓN, DOCENCIA, CONSULTORIA;Muy interesado;Muy interesado;Poco interés;Interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;PSIQUIATRIA, DETERMINANTES SOCIALES DE SALUD;1;6;1;0;1;0;0;1;Licenciado;1;Universidad de Concepción;La Reina;San Bernardo, Ñuñoa;38;Masculino;1;
Trabajo independiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;;;;;Trajo conflictos familiares;;;;;;;Tuvo consecuencias emocionales;;;Estabilidad, Docencia y Consultoría;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Apalancamiento de Recursos;1;16;17;3;1;1;1;1;Licenciado;1;Universidad Arturo Prat;Iquique;Iquique;42;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;0;Insatisfecho;Satisfecho;Satisfecho;;;;;;;A mi me afectó un gobierno de derecha, no el estallido social;Todo siguió igual;;;;;;;Esta difícil, Piñera no considera las ciencias sociales;Muy interesado;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Poco interés;Desarrollo organizacional;1;7;0;0;1;0;0;1;Magíster;1;U ARCIS;Valparaíso;Con con;38;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Se mantuvieron igual;0;Muy insatisfecho;Insatisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Servicio Publico, Recursos Humanos;Muy interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Interesado;Interesado;Muy interesado;Sociología Organizacional;1;0;5;0;0;1;1;1;Licenciado;1;Universidad Viña del Mar;Quilpué;Sin trabajo;29;Masculino;0;1
Trabajo independiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Academia;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Indiferente;Descentralización;1;12;12;3;0;0;0;1;Magíster;1;UNAP;Antofagasta;Antofagasta;38;Masculino;1;
